project;mergecommit;leftcommit;basecommit;rightcommit;ssmergeconfs;unmergeconfs
https://github.com/jenkinsci/jenkins;e750cd3511670c233a1bcf8dfac3bb6aa80097e9;d38c4ab704;533156c7c4732a1eaf101e96cdf989734520d30c;deaa5d6b17;3;0
https://github.com/jenkinsci/jenkins;61c753fca391e30b9c841d610e1184f9e14dc992;65adca296d;a8ee5752b9913f45350e0e795c5cec2aaa12b7ac;35e0deaed5;1;0
https://github.com/jenkinsci/jenkins;555a863886dbc770e7ad5e16f47fb5b0d9557f15;7886b73c1c;582f6508e509498ceb04f91f09ec260c1daa038e;8ebf09f141;0;1
https://github.com/jenkinsci/jenkins;7706306d21160b43d78638af96c88b5ba83d1556;839f0ac671;d73a37ced4cda21e5b76d3246bba2bcc6fab0599;555a863886;1;0
https://github.com/jenkinsci/jenkins;e18b34caafe67ecbc6d675aeab0bff8d434cc459;476605c549;8242e0eb1625454ae5539c444c8d8ecf99a70b62;3538931d1e;1;0
https://github.com/jenkinsci/jenkins;673cc13ffb6575cb2aeef6c725f4aaf6407fc57f;1c1e9d5d64;1868c8486bdb7a39a7beec0787bb40e15b80de48;6ce8cafcdd;1;0
https://github.com/jenkinsci/jenkins;f39c6b7b805b2be2e94017bbc9cc7e491e079df1;4753091384;8ebf09f141a3d505c4177e5a663fb43b9bc87bd9;2cdabc1dec;3;0
https://github.com/jenkinsci/jenkins;78f440db321b1f09af9d8be94408bf8e56e753ff;706aa7ad95;4753091384ea51c56cc09a0f96666ea9a4c2e03e;f39c6b7b80;1;0
https://github.com/jenkinsci/jenkins;c05e0523851f9e4dcb83be2f4c9646734674e9e4;87c867a3c2;706aa7ad95f9461b58afb480dab6441b861fd24d;78f440db32;1;0
https://github.com/jenkinsci/jenkins;921f1a81ed10c464a6e243d1dc1f5710805ea217;0047cec155;71b23750c62ee9f47ae809c405f35de98ea5d8dc;7c70042eee;0;1
https://github.com/jenkinsci/jenkins;64b501c2703c75d0302f3a98f3326d20614f79c5;142da2438e;4ed5c850b6855ab064a66d02fb338f366853ce89;13905d8224;1;0
https://github.com/jenkinsci/jenkins;4e97b128ae4b2d1b14f4887b7f958bba02815af9;258b893e1f;142da2438ee5c50953cdc831f81460ddd68fe0ba;64b501c270;1;0
